stable_id	sample_id	callset_id	read_1_fullpath	read_2_fullpath	num_files_in_group	num_unique_sample_ids	all_sample_ids	all_callset_ids	size_mismatch_flag	read_1_dir	read_2_dir	read_1_size	read_2_size	query_include	note	origin	taxon	site	UIN (if applicable)	latitude	longitude	admin1_name	collection_year_recorded	collection_year_inferred	admin1_iso	country	country_iso	collection_method	notes	feeding_preference	exo_endo	biting_time	population
Far_male_col	"['Far_male_col', 'Far_male_col']"	[None]	/QRISdata/Q3833/Raw_data/Phd/2015_HiSeq/Far_male_col_1.fastq.gz	/QRISdata/Q3833/Raw_data/Phd/2015_HiSeq/Far_male_col_2.fastq.gz	2	1	Far_male_col		FALSE	/QRISdata/Q3833/Raw_data/Phd/2015_HiSeq	/QRISdata/Q3833/Raw_data/Phd/2015_HiSeq	6476213717	7135845865	1			farauti_ss	StLucia		-27.49799546	153.0122008	Queensland		2023		Australia		Colony					
An-ban	['An-ban']	[None]	/QRISdata/Q3833/Raw_data/An_ban/An-ban_1.fastq.gz	/QRISdata/Q3833/Raw_data/An_ban/An-ban_2.fastq.gz	1	1	An-ban		FALSE	/QRISdata/Q3833/Raw_data/An_ban	/QRISdata/Q3833/Raw_data/An_ban	7907127205	8112276440	1			bancrofti	Australia2		-25.728048	134.490173			2023		Australia			this is a guess				
far_QLD_f1-Maca-18-1	['f1-Maca-18-1']	[None]	/QRISdata/Q3833/Luke/remap/f1-Maca-18-1_1.fastq.gz	/QRISdata/Q3833/Luke/remap/f1-Maca-18-1_2.fastq.gz	1	1	f1-Maca-18-1		FALSE	/QRISdata/Q3833/Luke/remap	/QRISdata/Q3833/Luke/remap	1739617760	1888551916	1			farauti_ss	Mackay		-21.104	149.119	Queensland	2018	2018	AU-QLD	Australia	AU						QLD
far_QLD_Mac-18-13	['f1-Mac-18-13']	['far_QLD_Mac-18-13']	/QRISdata/Q3833/Raw_data/05_2022_Macrogen/f1-Mac-18-13_1.fastq.gz	/QRISdata/Q3833/Raw_data/05_2022_Macrogen/f1-Mac-18-13_2.fastq.gz	1	1	f1-Mac-18-13	far_QLD_Mac-18-13	FALSE	/QRISdata/Q3833/Raw_data/05_2022_Macrogen	/QRISdata/Q3833/Raw_data/05_2022_Macrogen	2061453870	2205615671	1			farauti_ss	Mackay		-21.104	149.119	Queensland	2018	2018	AU-QLD	Australia	AU						QLD
far_QLD_Mac-18-19	['f1-Mac-18-19']	['far_QLD_Mac-18-19']	/QRISdata/Q3833/Raw_data/05_2022_Macrogen/f1-Mac-18-19_1.fastq.gz	/QRISdata/Q3833/Raw_data/05_2022_Macrogen/f1-Mac-18-19_2.fastq.gz	1	1	f1-Mac-18-19	far_QLD_Mac-18-19	FALSE	/QRISdata/Q3833/Raw_data/05_2022_Macrogen	/QRISdata/Q3833/Raw_data/05_2022_Macrogen	1968551983	2146146056	1			farauti_ss	Mackay		-21.104	149.119	Queensland	2018	2018	AU-QLD	Australia	AU						QLD
far_QLD_Mac-18-24	['f1-Mac-18-24']	['far_QLD_Mac-18-24']	/QRISdata/Q3833/Raw_data/05_2022_Macrogen/f1-Mac-18-24_1.fastq.gz	/QRISdata/Q3833/Raw_data/05_2022_Macrogen/f1-Mac-18-24_2.fastq.gz	1	1	f1-Mac-18-24	far_QLD_Mac-18-24	FALSE	/QRISdata/Q3833/Raw_data/05_2022_Macrogen	/QRISdata/Q3833/Raw_data/05_2022_Macrogen	2062826904	2226114809	1			farauti_ss	Mackay		-21.104	149.119	Queensland	2018	2018	AU-QLD	Australia	AU						QLD
far_QLD_Mac-18-29	['f1-Mac-18-29']	['far_QLD_Mac-18-29']	/QRISdata/Q3833/Raw_data/05_2022_Macrogen/f1-Mac-18-29_1.fastq.gz	/QRISdata/Q3833/Raw_data/05_2022_Macrogen/f1-Mac-18-29_2.fastq.gz	1	1	f1-Mac-18-29	far_QLD_Mac-18-29	FALSE	/QRISdata/Q3833/Raw_data/05_2022_Macrogen	/QRISdata/Q3833/Raw_data/05_2022_Macrogen	2040365147	2187907260	1			farauti_ss	Mackay		-21.104	149.119	Queensland	2018	2018	AU-QLD	Australia	AU						QLD
far_QLD_Mac1	['Mac1']	['far_QLD_Mac1']	/QRISdata/Q3833/Raw_data/RAW/farauti/Mac1_1.fastq.gz	/QRISdata/Q3833/Raw_data/RAW/farauti/Mac1_2.fastq.gz	1	1	Mac1	far_QLD_Mac1	FALSE	/QRISdata/Q3833/Raw_data/RAW/farauti	/QRISdata/Q3833/Raw_data/RAW/farauti	2256433880	2468406934	1			farauti_ss	Mackay		-21.104	149.119	Queensland	1995	1995	AU-QLD	Australia	AU		see VdH paper				QLD
far_QLD_Mac2	['Mac2']	['far_QLD_Mac2']	/QRISdata/Q3833/Raw_data/RAW/farauti/Mac2_1.fastq.gz	/QRISdata/Q3833/Raw_data/RAW/farauti/Mac2_2.fastq.gz	1	1	Mac2	far_QLD_Mac2	FALSE	/QRISdata/Q3833/Raw_data/RAW/farauti	/QRISdata/Q3833/Raw_data/RAW/farauti	1617953529	1791267597	1			farauti_ss	Mackay		-21.104	149.119	Queensland	1995	1995	AU-QLD	Australia	AU		see VdH paper				QLD
far_QLD_Mac3	['Mac3']	['far_QLD_Mac3']	/QRISdata/Q3833/Raw_data/RAW/farauti/Mac3_1.fastq.gz	/QRISdata/Q3833/Raw_data/RAW/farauti/Mac3_2.fastq.gz	1	1	Mac3	far_QLD_Mac3	FALSE	/QRISdata/Q3833/Raw_data/RAW/farauti	/QRISdata/Q3833/Raw_data/RAW/farauti	2031392089	2213567006	1			farauti_ss	Mackay		-21.104	149.119	Queensland	1995	1995	AU-QLD	Australia	AU		see VdH paper				QLD
